name,type,amphoe_id,id
องค์การบริหารส่วนตำบลสำนักตะคร้อ,อบต.,3026,3026001
องค์การบริหารส่วนตำบลหนองแวง,อบต.,3026,3026002
องค์การบริหารส่วนตำบลบึงปรือ,อบต.,3026,3026003
องค์การบริหารส่วนตำบลวังยายทอง,อบต.,3026,3026004
เทศบาลตำบลเมืองยาง,เทศบาลตำบล,3027,3027001
องค์การบริหารส่วนตำบลกระเบื้องนอก,อบต.,3027,3027002
องค์การบริหารส่วนตำบลละหานปลาค้าว,อบต.,3027,3027003
องค์การบริหารส่วนตำบลโนนอุดม,อบต.,3027,3027004
เทศบาลตำบลพระทองคำ,เทศบาลตำบล,3028,3028001
เทศบาลตำบลสระพระ,เทศบาลตำบล,3028,3028002
องค์การบริหารส่วนตำบลมาบกราด,อบต.,3028,3028003
องค์การบริหารส่วนตำบลพังเทียม,อบต.,3028,3028004
องค์การบริหารส่วนตำบลทัพรั้ง,อบต.,3028,3028005
องค์การบริหารส่วนตำบลหนองหอย,อบต.,3028,3028006
เทศบาลตำบลหนองบัววง,เทศบาลตำบล,3029,3029001
เทศบาลตำบลขุย,เทศบาลตำบล,3029,3029002
เทศบาลตำบลช่องแมว,เทศบาลตำบล,3029,3029003
เทศบาลตำบลบ้านยาง,เทศบาลตำบล,3029,3029004
เทศบาลตำบลไพล,เทศบาลตำบล,3029,3029005
เทศบาลตำบลท่าช้าง,เทศบาลตำบล,3030,3030001
องค์การบริหารส่วนตำบลช้างทอง,อบต.,3030,3030002
องค์การบริหารส่วนตำบลท่าช้าง,อบต.,3030,3030003
องค์การบริหารส่วนตำบลพระพุทธ,อบต.,3030,3030004
องค์การบริหารส่วนตำบลหนองงูเหลือม,อบต.,3030,3030005
องค์การบริหารส่วนตำบลหนองยาง,อบต.,3030,3030006
เทศบาลตำบลสีดา,เทศบาลตำบล,3031,3031001
องค์การบริหารส่วนตำบลสีดา,อบต.,3031,3031002
องค์การบริหารส่วนตำบลโพนทอง,อบต.,3031,3031003
องค์การบริหารส่วนตำบลโนนประดู่,อบต.,3031,3031004
องค์การบริหารส่วนตำบลสามเมือง,อบต.,3031,3031005
องค์การบริหารส่วนตำบลหนองตาดใหญ่,อบต.,3031,3031006
เทศบาลตำบลหนองบัวลาย,เทศบาลตำบล,3032,3032001
องค์การบริหารส่วนตำบลเมืองพะไล,อบต.,3032,3032002
องค์การบริหารส่วนตำบลโนนจาน,อบต.,3032,3032003
องค์การบริหารส่วนตำบลบัวลาย,อบต.,3032,3032004
องค์การบริหารส่วนตำบลหนองหว้า,อบต.,3032,3032005
